1;Alsace
2;Aquitaine
3;Auvergne
4;Basse-Normandie
5;Bourgogne
6;Bretagne
7;Centre
8;Champagne-Ardenne
9;Corse
10;Franche-Comté
11;Haute-Normandie
12;Île-de-France
13;Languedoc-Roussillon
14;Limousin
15;Lorraine
16;Midi-Pyrénées
17;Nord-Pas-de-Calais
18;Pays de la Loire
19;Picardie
20;Poitou-Charentes
21;Provence-Alpes-Côte d'Azur
22;Rhône-Alpes
23;Guadeloupe
24;Guyane
25;Martinique
26;Mayotte
27;La Réunion
